段階	検証ID	検証カテゴリ	対象費目	入力値/操作	期待値	スクショファイル名	画面	確認ポイント	実際の値	判定	計算根拠
層1：費用設定→項目連動	F1-1	費用設定確認	全費目	-	地代家賃(-)/固定人件費(固定¥1,194,753)/人件費(変動28.9%)/家賃(固定¥629,265)/水道光熱費(固定¥150,287)/減価償却費(固定¥69,648)	F1-1_費用設定一覧.png	費用設定	費目一覧・タイプ・金額を記録	　	　	6費目の基準データ
層1：費用設定→項目連動	F1-2	項目連動+予算反映	全費目	-	F1-1の6費目が全て表示+各予算値が一致	F1-2_費用実績入力3月.png	費用実績入力(3月)	費目の表示と予算値	　	　	固定人件費¥1,194,753/人件費=売上予算×28.9%/家賃¥629,265/水道光熱費¥150,287/減価償却費¥69,648
層1：費用設定→項目連動	F1-3	項目追加連動	通信費(テスト用)	費用設定→通信費 固定¥50,000を追加	通信費が表示+予算¥50,000	F1-3_費用実績入力3月_追加後.png	費用実績入力(3月)	追加費目の反映	　	　	費用設定追加→実績入力に連動
層1：費用設定→項目連動	F1-4	項目削除連動	通信費(テスト用)	費用設定→通信費を削除	通信費が消え元の6費目のみ	F1-4_費用実績入力3月_削除後.png	費用実績入力(3月)	削除費目の反映	　	　	費用設定削除→実績入力から消える
層2：実績入力→画面反映	F2-1	実績入力	全費目	1月実績を入力:地代家賃¥150,000/固定人件費¥1,000,000/人件費¥2,300,000/家賃¥629,265/水道光熱費¥140,000/減価償却費¥69,648	全費目が保存される	F2-1_費用実績入力1月.png	費用実績入力(1月)	全費目の入力・保存	　	　	累積検証のために1月から入力
層2：実績入力→画面反映	F2-2	実績入力	全費目	2月実績を入力:地代家賃¥144,851/固定人件費¥1,100,000/人件費¥2,500,000/家賃¥629,265/水道光熱費¥180,000/減価償却費¥69,648	全費目が保存される	F2-2_費用実績入力2月.png	費用実績入力(2月)	全費目の入力・保存	　	　	予算超過(水道光熱費¥180,000>¥150,287)を含む
層2：実績入力→画面反映	F2-3	年間予実対比	全費目	F2-1+F2-2入力後	1月/2月の予算・実績・差額・比率が正しい+累積額が正しい	F2-3_年間予実対比.png	年間予実対比	予算/実績/差額/比率/累積	　	　	累積:水道光熱費1-2月実績=140,000+180,000=320,000
層2：実績入力→画面反映	F2-4	予実対比	全費目	F2-2入力後	各費目の予算・実績・構成比・対比率が正しい	F2-4_予実対比2月.png	予実対比(2月)	予算/実績/構成比/対比率	　	　	対比率例:水道光熱費=180,000÷150,287=119.8%
層2：実績入力→画面反映	F2-5	月次集計	固定費/変動費	F2-2入力後	固定費実績(色付き)と予算(グレー)が正しい	F2-5_月次集計2月.png	月次集計(2月)	固定費/変動費の実績と予算	　	　	実績=入力値合計/予算(グレー)=月次予算設定の固定費用予算
層3：費用設定変更→予算連動	F3-1	費用設定変更	固定人件費	デフォルト数値を¥1,200,000に変更	固定人件費¥1,200,000に更新	F3-1_費用設定変更.png	費用設定	変更完了	　	　	+5,247(1,200,000-1,194,753)の差額
層3：費用設定変更→予算連動	F3-2	予算反映確認	固定人件費	F3-1変更後	全月の予算が¥1,200,000に変化	F3-2_年間予実対比.png	年間予実対比(固定人件費行)	全月の予算値	　	　	全月¥1,200,000に変わるか
層3：費用設定変更→予算連動	F3-3	固定費予算連動	固定人件費	F3-1変更後	固定費用予算が+5,247増加	F3-3_月次予算設定3月.png	月次予算設定(3月)	固定費用予算の変化	　	　	費用設定変更の差額が固定費用合計に反映
