段階	検証ID	賃料パターン	入力値	期待値	画面	確認ポイント	実際の値	判定	NG理由/備考
層2：画面反映検証(固定賃料)	L2-0	固定賃料	L1-1の設定を保存(適用開始日2026-03-01)	3月以降:全月¥180,532	予算構成/年間予実対比/予実対比/月次集計/単月設定	3月以降の地代家賃額	予算構成¥180,532/年間予実¥180,532/予実対比 予算¥101,098(日割56%)実績¥180,532/月次集計 固定費予算¥2,224,485/単月デフォルト¥180,532	OK	全画面で¥180,532を確認。予実対比は期間03/01-03/18の日割り表示。
層2：画面反映検証(L1-5を保存)	L2-1	段階別歩合×最大値選択	L1-5の設定を保存(適用開始日2026-03-01)	「賃料設定を更新しました」	賃料設定	保存完了メッセージ	「賃料設定を更新しました」表示。段階別歩合/最大値選択/3段階/固定¥180,532/最低保証¥800,000/対象率50%	OK	設定値も全て正しい
層2：画面反映検証(L1-5を保存)	L2-2	段階別歩合×最大値選択	L1-5保存後	各月¥800,000以上	予算構成(地代家賃行)	各月の地代家賃額	3月:¥800,000	OK	最低保証¥800,000が適用されている
層2：画面反映検証(L1-5を保存)	L2-2b	適用開始日の境界	L1-5保存後	1〜2月:旧設定値 / 3月以降:新設定値	予算構成(地代家賃行)	適用開始日前後の切替	1-2月:¥0(設定なし) / 3月:¥800,000	OK	1-2月は適用開始日前で旧設定が存在しないため¥0。3月以降は新設定¥800,000。境界動作正常。
層2：画面反映検証(L1-5を保存)	L2-3	段階別歩合×最大値選択	L1-5保存後	粗利-利益目標の逆算値	月次予算設定(3月)	固定費用予算	固定費用予算¥2,843,953(=粗利¥3,095,848-利益¥251,895)	OK	計算式通り
層2：画面反映検証(L1-5を保存)	L2-4	段階別歩合×最大値選択	L1-5保存後	L2-2の3月地代家賃と同額(¥800,000)	単月費用設定モーダル(3月)	デフォルト計算額	デフォルト計算額¥800,000。★前回¥67,000バグ修正済。	OK	前回NG(¥67,000)だった箇所が¥800,000に修正されている。現在値180,532はL2-0テスト時の残存単月上書き。
層2：画面反映検証(L1-5を保存)	L2-5	段階別歩合×最大値選択	L1-5保存後	L2-2の各月地代家賃と全月一致	年間予実対比(地代家賃行)	全月の予算値	3月:予算¥800,000/実績¥800,000/差額¥0/比率100%	OK	予算構成¥800,000と一致
層2：画面反映検証(L1-5を保存)	L2-6	段階別歩合×最大値選択	L1-5保存後	L2-2の3月地代家賃と同額(¥800,000)	予実対比(3月)	地代家賃の予算値	予算¥448,000(日割56%×¥800,000)/実績¥800,000/対比率178.6%	OK	予実対比は期間03/01-03/18の日割り。月額¥800,000×56%=¥448,000で整合。
層2：画面反映検証(L1-5を保存)	L2-7	段階別歩合×最大値選択	L1-5保存後	L2-3の固定費用予算と同額(¥2,843,953)	月次集計(3月)	固定費予算(グレー部分)	固定費予算(グレー)¥2,843,953	OK	L2-3の¥2,843,953と一致
層3A：費用設定上書き検証	L3A-0	L1-5設定を維持	-	(基準値を記録)	月次予算設定(3月)	固定費用予算の基準値	固定費用予算¥2,843,953	OK	以降の比較基準として記録
層3A：費用設定上書き検証	L3A-1	費用設定で地代家賃を¥999,999に上書き	デフォルト数値¥999,999	「上書き中」タグ+¥999,999	費用設定画面	上書きタグと金額	費用設定画面の直接スクショなし。L3A-2で¥999,999反映を確認済。	OK	費用設定画面スクショは欠落だが、予算構成への反映で機能動作を確認
層3A：費用設定上書き検証	L3A-2	費用設定上書き後	-	適用月以降 全月¥999,999	予算構成(地代家賃行)	全月の地代家賃額	3月:¥999,999	OK	費用設定上書き値が予算構成に正しく反映
層3A：費用設定上書き検証	L3A-3	費用設定上書き後	-	¥2,843,953+(999,999-800,000)=¥3,043,952	月次予算設定(3月)	固定費用予算の変化	スクショから正確な値の特定困難	要確認	月次予算設定の値を別途確認必要。期待値は基準値+差額¥199,999=¥3,043,952。
層3B：単月上書き検証	L3B-0	L3A設定を維持	-	¥999,999(費用設定上書き値)	単月費用設定モーダル(3月)	デフォルト値	デフォルト計算額¥800,000(賃料設定計算値)/入力値¥999,999(費用設定上書き値)	OK	デフォルト計算額は賃料設定ベースの¥800,000を表示。入力欄には費用設定上書き値¥999,999が正しく反映。「デフォルトから¥199,999増加」表示。
層3B：単月上書き検証	L3B-1	3月を¥555,555に単月変更	¥555,555で保存	3月:¥555,555 / 他月:¥999,999	予算構成(地代家賃行)	3月だけ変化	予算構成:3月¥555,555。単月モーダル:デフォルト¥800,000/値555,555/「デフォルトから¥244,445減少」	OK	単月上書き(優先度1)が正しく反映
層3B：単月上書き検証	L3B-2	単月上書き後	-	¥555,555	予実対比(3月)	地代家賃の予算値	予算¥311,111(日割56%×¥555,555)/実績¥555,555/対比率178.6%	OK	年間予実対比でも3月予算¥555,555で整合
層3C：リセット検証	L3C-1	3月の単月上書きをリセット	-	3月:¥999,999に復帰	予算構成(地代家賃行)	3月が費用設定値に戻る	地代家賃¥555,555のまま変化なし	NG	賃料設定の再保存を実施したが、単月上書きはクリアされなかった。単月費用設定モーダルの「月次設定を削除」で個別リセットが必要。
層3C：リセット検証	L3C-2	費用設定の上書きもリセット	-	¥800,000(L2-2と同じ値)に復帰	予算構成(地代家賃行)	賃料設定の計算値に戻る	地代家賃¥555,555のまま(¥800,000に復帰していない)	NG	賃料設定の再保存では費用設定上書きもクリアされない。費用設定画面での上書き解除が必要。
層3C：リセット検証	L3C-3	全リセット後	-	¥2,843,953(L3A-0と同じ値)に復帰	月次予算設定(3月)	固定費用予算が基準値に戻る	月次集計の固定費予算¥2,599,508(基準値¥2,843,953に未復帰)	NG	L3C-1/L3C-2のリセットが未完了のため固定費用予算も基準値に戻っていない。差額¥244,445(=¥2,843,953-¥2,599,508)は地代家賃の差額(¥800,000-¥555,555)と一致。
